Welcome	UH
he	PRP
know	VB
the	DT
good	JJ
when	WRB
the	DT
same	JJ
topic	NN
is	VBZ
being	VBG
discussed	VBN
.	.

Is	VBZ
not	RB
the	DT
same	JJ
person	NN
skilful	JJ
in	IN
both	DT
?	.

And	CC
you	PRP
say	VBP
that	IN
Homer	NNP
and	CC
the	DT
other	JJ
poets	NNS
,	,
such	JJ
as	IN
Hesiod	NNP
and	CC
Archilochus	NNP
,	,
speak	VBP
of	IN
the	DT
same	JJ
things	NNS
,	,
although	IN
not	RB
in	IN
the	DT
same	JJ
way	NN
;	:
but	CC
the	DT
one	NN
speaks	VBZ
well	RB
and	CC
the	DT
other	JJ
not	RB
so	RB
well	RB
?	.

And	CC
if	IN
you	PRP
knew	VBD
the	DT
good	JJ
speaker	NN
,	,
you	PRP
would	MD
also	RB
know	VB
the	DT
inferior	JJ
speakers	NNS
to	TO
be	VB
inferior	JJ
?	.

Then	RB
,	,
my	PRP$
dear	RB
friend	NN
,	,
can	MD
I	PRP
be	VB
mistaken	VBN
in	IN
saying	VBG
that	IN
Ion	NN
is	VBZ
equally	RB
skilled	JJ
in	IN
Homer	NNP
and	CC
in	IN
other	JJ
poets	NNS
,	,
since	IN
he	PRP
himself	PRP
acknowledges	VBZ
that	IN
the	DT
same	JJ
person	NN
will	MD
be	VB
a	DT
good	JJ
judge	NN
of	IN
all	PDT
those	DT
who	WP
speak	VBP
of	IN
the	DT
same	JJ
things	NNS
;	:
and	CC
that	IN
almost	RB
all	DT
poets	NNS
do	VBP
speak	VB
of	IN
the	DT
same	JJ
things	NNS
?	.

The	DT
reason	NN
,	,
my	PRP$
friend	NN
,	,
is	VBZ
obvious	JJ
.	.

No	DT
one	NN
can	MD
fail	VB
to	TO
see	VB
that	IN
you	PRP
speak	VBP
of	IN
Homer	NNP
without	IN
any	DT
art	NN
or	CC
knowledge	NN
.	.

If	IN
you	PRP
were	VBD
able	JJ
to	TO
speak	VB
of	IN
him	PRP
by	IN
rules	NNS
of	IN
art	NN
,	,
you	PRP
would	MD
have	VB
been	VBN
able	JJ
to	TO
speak	VB
of	IN
all	DT
other	JJ
poets	NNS
;	:
for	IN
poetry	NN
is	VBZ
a	DT
whole	NN
.	.

And	CC
when	WRB
any	DT
one	CD
acquires	VBZ
any	DT
other	JJ
art	NN
as	IN
a	DT
whole	NN
,	,
the	DT
same	JJ
may	MD
be	VB
said	VBD
of	IN
them	PRP
.	.

Would	MD
you	PRP
like	VB
me	PRP
to	TO
explain	VB
my	PRP$
meaning	NN
,	,
Ion	NN
?	.

O	NN
that	IN
we	PRP
were	VBD
wise	JJ
,	,
Ion	NN
,	,
and	CC
that	IN
you	PRP
could	MD
truly	RB
call	VB
us	PRP
so	RB
;	:
but	CC
you	PRP
rhapsodes	NNS
and	CC
actors	NNS
,	,
and	CC
the	DT
poets	NNS
whose	WP$
verses	NNS
you	PRP
sing	VBP
,	,
are	VBP
wise	JJ
;	:
whereas	IN
I	PRP
am	VBP
a	DT
common	JJ
man	NN
,	,
who	WP
only	RB
speak	VBP
the	DT
truth	NN
.	.

For	IN
consider	VBP
what	WP
a	DT
very	RB
commonplace	JJ
and	CC
trivial	JJ
thing	NN
is	VBZ
this	DT
which	WDT
I	PRP
have	VBP
said	VBN
--	:
a	DT
thing	NN
which	WDT
any	DT
man	NN
might	MD
say	VB
:	:
that	IN
when	WRB
a	DT
man	NN
has	VBZ
acquired	VBN
a	DT
knowledge	NN
of	IN
a	DT
whole	JJ
art	NN
,	,
the	DT
enquiry	NN
into	IN
good	JJ
and	CC
bad	JJ
is	VBZ
one	CD
and	CC
the	DT
same	JJ
.	.

Let	VB
us	PRP
consider	VB
this	DT
matter	NN
;	:
is	VBZ
not	RB
the	DT
art	NN
of	IN
painting	VBG
a	DT
whole	NN
?	.

And	CC
there	EX
are	VBP
and	CC
have	VBP
been	VBN
many	JJ
painters	NNS
good	JJ
and	CC
bad	JJ
?	.

And	CC
did	VBD
you	PRP
ever	RB
know	VBP
any	DT
one	NN
who	WP
was	VBD
skilful	JJ
in	IN
pointing	VBG
out	RP
the	DT
excellences	NNS
and	CC
defects	NNS
of	IN
Polygnotus	NNP
the	DT
son	NN
of	IN
Aglaophon	NNP
,	,
but	CC
incapable	JJ
of	IN
criticizing	VBG
other	JJ
painters	NNS
;	:
and	CC
when	WRB
the	DT
work	NN
of	IN
any	DT
other	JJ
painter	NN
was	VBD
produced	VBN
,	,
went	VBD
to	TO
sleep	VB
and	CC
was	VBD
at	IN
a	DT
loss	NN
,	,
and	CC
had	VBD
no	DT
ideas	NNS
;	:
but	CC
when	WRB
he	PRP
had	VBD
to	TO
give	VB
his	PRP$
opinion	NN
about	IN
Polygnotus	NNP
,	,
or	CC
whoever	WP
the	DT
painter	NN
might	MD
be	VB
,	,
and	CC
about	IN
him	PRP
only	RB
,	,
woke	VBD
up	RB
and	CC
was	VBD
attentive	JJ
and	CC
had	VBD
plenty	NN
to	TO
say	VB
?	.

Or	CC
did	VBD
you	PRP
ever	RB
know	VB
of	IN
any	DT
one	CD
in	IN
sculpture	NN
,	,
who	WP
was	VBD
skilful	JJ
in	IN
expounding	VBG
the	DT
merits	NNS
of	IN
Daedalus	NNP
the	DT
son	NN
of	IN
Metion	NNP
,	,
or	CC
of	IN
Epeius	NNP
the	DT
son	NN
of	IN
Panopeus	NN
,	,
or	CC
of	IN
Theodorus	NNP
the	DT
Samian	NNP
,	,
or	CC
of	IN
any	DT
individual	JJ
sculptor	NN
;	:
but	CC
when	WRB
the	DT
works	NNS
of	IN
sculptors	NNS
in	IN
general	JJ
were	VBD
produced	VBN
,	,
was	VBD
at	IN
a	DT
loss	NN
and	CC
went	VBD
to	TO
sleep	VB
and	CC
had	VBD
nothing	NN
to	TO
say	VB
?	.

And	CC
if	IN
I	PRP
am	VBP
not	RB
mistaken	JJ
,	,
you	PRP
never	RB
met	VBD
with	IN
any	DT
one	CD
among	IN
flute-players	NNS
or	CC
harp-players	NNS
or	CC
singers	NNS
to	TO
the	DT
harp	NN
or	CC
rhapsodes	NNS
who	WP
was	VBD
able	JJ
to	TO
discourse	NN
of	IN
Olympus	NNP
or	CC
Thamyras	NNP
or	CC
Orpheus	NNP
,	,
or	CC
Phemius	NNP
the	DT
rhapsode	NN
of	IN
Ithaca	NNP
,	,
but	CC
was	VBD
at	IN
a	DT
loss	NN
when	WRB
he	PRP
came	VBD
to	TO
speak	VB
of	IN
Ion	NNP
of	IN
Ephesus	NNP
,	,
and	CC
had	VBD
no	DT
notion	NN
of	IN
his	PRP$
merits	NNS
or	CC
defects	NNS
?	.

I	PRP
perceive	VBP
,	,
Ion	NN
;	:
and	CC
I	PRP
will	MD
proceed	VB
to	TO
explain	VB
to	TO
you	PRP
what	WP
I	PRP
imagine	VBP
to	TO
be	VB
the	DT
reason	NN
of	IN
this	DT
.	.

The	DT
gift	NN
which	WDT
you	PRP
possess	VBP
of	IN
speaking	VBG
excellently	RB
about	IN
Homer	NNP
is	VBZ
not	RB
an	DT
art	NN
,	,
but	CC
,	,
as	IN
I	PRP
was	VBD
just	RB
saying	VBG
,	,
an	DT
inspiration	NN
;	:
there	EX
is	VBZ
a	DT
divinity	NN
moving	VBG
you	PRP
,	,
like	IN
that	DT
contained	VBN
in	IN
the	DT
stone	NN
which	WDT
Euripides	NNP
calls	VBZ
a	DT
magnet	NN
,	,
but	CC
which	WDT
is	VBZ
commonly	RB
known	VBN
as	IN
the	DT
stone	NN
of	IN
Heraclea	NNP
.	.

This	DT
stone	NN
not	RB
only	RB
attracts	VBZ
iron	NN
rings	NNS
,	,
but	CC
also	RB
imparts	VBZ
to	TO
them	PRP
a	DT
similar	JJ
power	NN
of	IN
attracting	VBG
other	JJ
rings	NNS
;	:
and	CC
sometimes	RB
you	PRP
may	MD
see	VB
a	DT
number	NN
of	IN
pieces	NNS
of	IN
iron	NN
and	CC
rings	NNS
suspended	VBN
from	IN
one	CD
another	DT
so	RB
as	IN
to	TO
form	VB
quite	RB
a	DT
long	JJ
chain	NN
:	:
and	CC
all	DT
of	IN
them	PRP
derive	VBP
their	PRP$
power	NN
of	IN
suspension	NN
from	IN
the	DT
original	JJ
stone	NN
.	.

In	IN
like	JJ
manner	NN
the	DT
Muse	NNP
first	JJ
of	IN
all	DT
inspires	VBZ
men	NNS
herself	PRP
;	:
and	CC
from	IN
these	DT
inspired	JJ
persons	NNS
a	DT
chain	NN
of	IN
other	JJ
persons	NNS
is	VBZ
suspended	VBN
,	,
who	WP
take	VBP
the	DT
inspiration	NN
.	.

For	IN
all	DT
good	JJ
poets	NNS
,	,
epic	NN
as	RB
well	RB
as	IN
lyric	NN
,	,
compose	VB
their	PRP$
beautiful	JJ
poems	NNS
not	RB
by	IN
art	NN
,	,
but	CC
because	IN
they	PRP
are	VBP
inspired	VBN
and	CC
possessed	VBN
.	.

And	CC
as	IN
the	DT
Corybantian	JJ
revellers	NNS
when	WRB
they	PRP
dance	VBP
are	VBP
not	RB
in	IN
their	PRP$
right	JJ
mind	NN
,	,
so	IN
the	DT
lyric	NN
poets	NNS
are	VBP
not	RB
in	IN
their	PRP$
right	JJ
mind	NN
when	WRB
they	PRP
are	VBP
composing	VBG
their	PRP$
beautiful	JJ
strains	NNS
:	:
but	CC
when	WRB
falling	VBG
under	IN
the	DT
power	NN
of	IN
music	NN
and	CC
metre	NN
they	PRP
are	VBP
inspired	VBN
and	CC
possessed	VBN
;	:
like	IN
Bacchic	JJ
maidens	NNS
who	WP
draw	VBP
milk	NN
and	CC
honey	NN
from	IN
the	DT
rivers	NNS
when	WRB
they	PRP
are	VBP
under	IN
the	DT
influence	NN
of	IN
Dionysus	NNP
but	CC
not	RB
when	WRB
they	PRP
are	VBP
in	IN
their	PRP$
right	JJ
mind	NN
.	.

And	CC
the	DT
soul	NN
of	IN
the	DT
lyric	NN
poet	NN
does	VBZ
the	DT
same	JJ
,	,
as	IN
they	PRP
themselves	PRP
say	VBP
;	:
for	IN
they	PRP
tell	VBP
us	PRP
that	IN
they	PRP
bring	VBP
songs	NNS
from	IN
honeyed	JJ
fountains	NNS
,	,
culling	VBG
them	PRP
out	IN
of	IN
the	DT
gardens	NNS
and	CC
dells	NNS
of	IN
the	DT
Muses	NNS
;	:
they	PRP
,	,
like	IN
the	DT
bees	NNS
,	,
winging	VBG
their	PRP$
way	NN
from	IN
flower	NN
to	TO
flower	NN
.	.

And	CC
this	DT
is	VBZ
true	JJ
.	.

For	IN
the	DT
poet	NN
is	VBZ
a	DT
light	JJ
and	CC
winged	JJ
and	CC
holy	JJ
thing	NN
,	,
and	CC
there	EX
is	VBZ
no	DT
invention	NN
in	IN
him	PRP
until	IN
he	PRP
has	VBZ
been	VBN
inspired	VBN
and	CC
is	VBZ
out	IN
of	IN
his	PRP$
senses	NNS
,	,
and	CC
the	DT
mind	NN
is	VBZ
no	RB
longer	RBR
in	IN
him	PRP
:	:
when	WRB
he	PRP
has	VBZ
not	RB
attained	VBN
to	TO
this	DT
state	NN
,	,
he	PRP
is	VBZ
powerless	JJ
and	CC
is	VBZ
unable	JJ
to	TO
utter	JJ
his	PRP$
oracles	NNS
.	.

Many	JJ
are	VBP
the	DT
noble	JJ
words	NNS
in	IN
which	WDT
poets	NNS
speak	VBP
concerning	VBG
the	DT
actions	NNS
of	IN
men	NNS
;	:
but	CC
like	IN
yourself	PRP
when	WRB
speaking	VBG
about	IN
Homer	NNP
,	,
they	PRP
do	VBP
not	RB
speak	VB
of	IN
them	PRP
by	IN
any	DT
rules	NNS
of	IN
art	NN
:	:
they	PRP
are	VBP
simply	RB
inspired	JJ
to	TO
utter	JJ
that	IN
to	TO
which	WDT
the	DT
Muse	NNP
impels	VBZ
them	PRP
,	,
and	CC
that	IN
only	RB
;	:
and	CC
when	WRB
inspired	VBN
,	,
one	CD
of	IN
them	PRP
will	MD
make	VB
dithyrambs	NNS
,	,
another	DT
hymns	NNS
of	IN
praise	NN
,	,
another	DT
choral	JJ
strains	NNS
,	,
another	DT
epic	NN
or	CC
iambic	JJ
verses	NNS
--	:
and	CC
he	PRP
who	WP
is	VBZ
good	JJ
at	IN
one	CD
is	VBZ
not	RB
good	JJ
at	IN
any	DT
other	JJ
kind	NN
of	IN
verse	NN
:	:
for	IN
not	RB
by	IN
art	NN
does	VBZ
the	DT
poet	NN
sing	VB
,	,
but	CC
by	IN
power	NN
divine	NN
.	.

Had	VBD
he	PRP
learned	VBD
by	IN
rules	NNS
of	IN
art	NN
,	,
he	PRP
would	MD
have	VB
known	VBN
how	WRB
to	TO
speak	VB
not	RB
of	IN
one	CD
theme	NN
only	RB
,	,
but	CC
of	IN
all	DT
;	:
and	CC
therefore	RB
God	NNP
takes	VBZ
away	RP
the	DT
minds	NNS
of	IN
poets	NNS
,	,
and	CC
uses	VBZ
them	PRP
as	IN
his	PRP$
ministers	NNS
,	,
as	IN
he	PRP
also	RB
uses	VBZ
diviners	NNS
and	CC
holy	JJ
prophets	NNS
,	,
in	IN
order	NN
that	IN
we	PRP
who	WP
hear	VBP
them	PRP
may	MD
know	VB
them	PRP
to	TO
be	VB
speaking	VBG
not	RB
of	IN
themselves	PRP
who	WP
utter	JJ
these	DT
priceless	JJ
words	NNS
in	IN
a	DT
state	NN
of	IN
unconsciousness	NN
,	,
but	CC
that	IN
God	NNP
himself	PRP
is	VBZ
the	DT
speaker	NN
,	,
and	CC
that	IN
through	IN
them	PRP
he	PRP
is	VBZ
conversing	VBG
with	IN
us	PRP
.	.

And	CC
Tynnichus	NNP
the	DT
Chalcidian	NNP
affords	VBZ
a	DT
striking	JJ
instance	NN
of	IN
what	WP
I	PRP
am	VBP
saying	VBG
:	:
he	PRP
wrote	VBD
nothing	NN
that	IN
any	DT
one	NN
would	MD
care	VB
to	TO
remember	VB
but	CC
the	DT
famous	JJ
paean	NN
which	WDT
is	VBZ
in	IN
every	DT
one	NN
's	POS
mouth	NN
,	,
one	CD
of	IN
the	DT
finest	JJS
poems	NNS
ever	RB
written	VBN
,	,
simply	RB
an	DT
invention	NN
of	IN
the	DT
Muses	NNS
,	,
as	IN
he	PRP
himself	PRP
says	VBZ
.	.

For	IN
in	IN
this	DT
way	NN
the	DT
God	NNP
would	MD
seem	VB
to	TO
indicate	VB
to	TO
us	PRP
and	CC
not	RB
allow	VB
us	PRP
to	TO
doubt	VB
that	IN
these	DT
beautiful	JJ
poems	NNS
are	VBP
not	RB
human	JJ
,	,
or	CC
the	DT
work	NN
of	IN
man	NN
,	,
but	CC
divine	NN
and	CC
the	DT
work	NN
of	IN
God	NNP
;	:
and	CC
that	IN
the	DT
poets	NNS
are	VBP
only	RB
the	DT
interpreters	NNS
of	IN
the	DT
Gods	NNS
by	IN
whom	WP
they	PRP
are	VBP
severally	RB
possessed	VBN
.	.

Was	VBD
not	RB
this	DT
the	DT
lesson	NN
which	WDT
the	DT
God	NNP
intended	VBD
to	TO
teach	VB
when	WRB
by	IN
the	DT
mouth	NN
of	IN
the	DT
worst	JJS
of	IN
poets	NNS
he	PRP
sang	VBD
the	DT
best	JJS
of	IN
songs	NNS
?	.

Am	VBP
I	PRP
not	RB
right	JJ
,	,
Ion	NNP
?	.

And	CC
you	PRP
rhapsodists	NNS
are	VBP
the	DT
interpreters	NNS
of	IN
the	DT
poets	NNS
?	.

Then	RB
you	PRP
are	VBP
the	DT
interpreters	NNS
of	IN
interpreters	NNS
?	.

I	PRP
wish	VBP
you	PRP
would	MD
frankly	RB
tell	VB
me	PRP
,	,
Ion	NN
,	,
what	WP
I	PRP
am	VBP
going	VBG
to	TO
ask	VB
of	IN
you	PRP
:	:
When	WRB
you	PRP
produce	VBP
the	DT
greatest	JJS
effect	NN
upon	IN
the	DT
audience	NN
in	IN
the	DT
recitation	NN
of	IN
some	DT
striking	JJ
passage	NN
,	,
such	JJ
as	IN
the	DT
apparition	NN
of	IN
Odysseus	NNP
leaping	VBG
forth	RB
on	IN
the	DT
floor	NN
,	,
recognized	VBN
by	IN
the	DT
suitors	NNS
and	CC
casting	VBG
his	PRP$
arrows	NNS
at	IN
his	PRP$
feet	NNS
,	,
or	CC
the	DT
description	NN
of	IN
Achilles	NNPS
rushing	VBG
at	IN
Hector	NNP
,	,
or	CC
the	DT
sorrows	NN
of	IN
Andromache	NNP
,	,
Hecuba	NNP
,	,
or	CC
Priam	NNP
,	,
--	:
are	VBP
you	PRP
in	IN
your	PRP$
right	JJ
mind	NN
?	.

Are	VBP
you	PRP
not	RB
carried	VBD
out	IN
of	IN
yourself	PRP
,	,
and	CC
does	VBZ
not	RB
your	PRP$
soul	NN
in	IN
an	DT
ecstasy	NN
seem	VBP
to	TO
be	VB
among	IN
the	DT
persons	NNS
or	CC
places	NNS
of	IN
which	WDT
you	PRP
are	VBP
speaking	VBG
,	,
whether	IN
they	PRP
are	VBP
in	IN
Ithaca	NNP
or	CC
in	IN
Troy	NNP
or	CC
whatever	WDT
may	MD
be	VB
the	DT
scene	NN
of	IN
the	DT
poem	NN
?	.

Well	RB
,	,
Ion	NN
,	,
and	CC
what	WP
are	VBP
we	PRP
to	TO
say	VB
of	IN
a	DT
man	NN
who	WP
at	IN
a	DT
sacrifice	NN
or	CC
festival	NN
,	,
when	WRB
he	PRP
is	VBZ
dressed	VBN
in	IN
holiday	NN
attire	NN
,	,
and	CC
has	VBZ
golden	JJ
crowns	NNS
upon	IN
his	PRP$
head	NN
,	,
of	IN
which	WDT
nobody	NN
has	VBZ
robbed	VBN
him	PRP
,	,
appears	VBZ
weeping	VBG
or	CC
panic-stricken	JJ
in	IN
the	DT
presence	NN
of	IN
more	JJR
than	IN
twenty	CD
thousand	CD
friendly	JJ
faces	NNS
,	,
when	WRB
there	EX
is	VBZ
no	DT
one	NN
despoiling	VBG
or	CC
wronging	VBG
him	PRP
;	:
--	:
is	VBZ
he	PRP
in	IN
his	PRP$
right	JJ
mind	NN
or	CC
is	VBZ
he	PRP
not	RB
?	.

And	CC
are	VBP
you	PRP
aware	JJ
that	IN
you	PRP
produce	VBP
similar	JJ
effects	NNS
on	IN
most	JJS
of	IN
the	DT
spectators	NNS
?	.

Do	VBP
you	PRP
know	VB
that	IN
the	DT
spectator	NN
is	VBZ
the	DT
last	JJ
of	IN
the	DT
rings	NNS
which	WDT
,	,
as	IN
I	PRP
am	VBP
saying	VBG
,	,
receive	VBP
the	DT
power	NN
of	IN
the	DT
original	JJ
magnet	NN
from	IN
one	CD
another	DT
?	.

The	DT
rhapsode	NN
like	IN
yourself	PRP
and	CC
the	DT
actor	NN
are	VBP
intermediate	JJ
links	NNS
,	,
and	CC
the	DT
poet	NN
himself	PRP
is	VBZ
the	DT
first	JJ
of	IN
them	PRP
.	.

Through	IN
all	PDT
these	DT
the	DT
God	NNP
sways	VBZ
the	DT
souls	NNS
of	IN
men	NNS
in	IN
any	DT
direction	NN
which	WDT
he	PRP
pleases	VBZ
,	,
and	CC
makes	VBZ
one	CD
man	NN
hang	VB
down	RP
from	IN
another	DT
.	.

Thus	RB
there	EX
is	VBZ
a	DT
vast	JJ
chain	NN
of	IN
dancers	NNS
and	CC
masters	NNS
and	CC
under-masters	NNS
of	IN
choruses	NNS
,	,
who	WP
are	VBP
suspended	VBN
,	,
as	IN
if	IN
from	IN
the	DT
stone	NN
,	,
at	IN
the	DT
side	NN
of	IN
the	DT
rings	NNS
which	WDT
hang	VBP
down	RB
from	IN
the	DT
Muse	NNP
.	.

And	CC
every	DT
poet	NN
has	VBZ
some	DT
Muse	NNP
from	IN
whom	WP
he	PRP
is	VBZ
suspended	VBN
,	,
and	CC
by	IN
whom	WP
he	PRP
is	VBZ
said	VBN
to	TO
be	VB
possessed	VBN
,	,
which	WDT
is	VBZ
nearly	RB
the	DT
same	JJ
thing	NN
;	:
for	IN
he	PRP
is	VBZ
taken	VBN
hold	NN
of	IN
.	.

And	CC
from	IN
these	DT
first	JJ
rings	NNS
